edge_id,src_node_id,dest_node_id,weight_m
0,0,1,0.83722
1,0,4,1.86257
2,1,0,0.83722
3,1,2,0.91613
4,1,6,1.06826
5,2,1,0.91613
6,2,3,1.46865
7,2,7,1.06174
8,3,2,1.46865
9,3,8,1.06407
10,3,9,2.1907
11,4,0,1.86257
12,4,5,1.01029
13,4,20,1.95042
14,5,0,1.06164
15,5,4,1.01029
16,5,6,1.66031
17,6,5,1.66031
18,6,7,0.91613
19,6,13,1.07487
20,7,2,1.06174
21,7,6,0.91613
22,7,8,1.47174
23,7,10,0.98557
24,8,3,1.06407
25,8,7,1.47174
26,8,9,1.33067
27,8,11,0.97896
28,9,3,2.1907
29,9,8,1.33067
30,9,12,0.98224
31,10,7,0.98557
32,10,11,1.46515
33,10,13,0.90693
34,10,17,0.635
35,11,8,0.97896
36,11,10,1.46515
37,11,12,1.32599
38,11,15,0.60855
39,12,9,0.98224
40,12,11,1.32599
41,12,16,0.61038
42,13,10,0.90693
43,13,14,0.62643
44,13,18,1.07594
45,14,5,1.36279
46,14,13,0.62643
47,14,20,1.43074
48,15,11,0.60855
49,15,19,1.09422
50,15,25,1.09803
51,16,12,0.61038
52,16,15,1.32834
53,16,22,0.62748
54,17,19,0.56602
55,18,17,0.33096
56,19,23,0.69171
57,20,4,1.95042
58,20,14,1.43074
59,20,26,2.62106
60,21,16,0.62349
61,21,22,0.25136
62,21,25,1.54443
63,22,28,2.42438
64,23,24,0.53344
65,24,18,1.02755
66,25,15,1.09803
67,25,27,0.63377
68,26,14,1.9727
69,26,20,2.62106
70,26,24,1.39486
71,27,23,1.46685
72,27,25,0.63377
73,28,23,1.498
74,28,25,0.72761
