node_id,horizontal_road,vertical_road,x_cm,y_cm
0,Aquatic Ave.,Waddle Way,129,29
1,Aquatic Ave.,Waterfoul Way.,213,29
2,Aquatic Ave.,Feather St.,305,29
3,Aquatic Ave.,Beak St.,452,29
4,Migration Ave.,Quack St.,29,135
5,Migration Ave.,Waddle Way,129,135
6,Migration Ave.,Waterfoul Way.,213,135
7,Migration Ave.,Feather St.,305,135
8,Migration Ave.,Beak St.,452,135
9,Migration Ave.,Mallard St.,585,135
10,Pondside Ave.,Feather St.,305,233
11,Pondside Ave.,Beak St.,452,233
12,Pondside Ave.,Mallard St.,585,233
13,Pondside Ave.,Waterfoul Way.,214,241
14,Pondside Ave.,Waddle Way,157,266
15,Dabbler Dr.,Beak St.,452,293
16,Dabbler Dr.,Mallard St.,585,293
17,The Circle,Feather St.,305,296
18,The Circle,Waterfoul Way,273,307
19,Dabbler Dr.,The Circle,350,324
20,Pondside Ave.,Quack St.,28,329
21,Drake Dr.,Mallard St.,576,354
22,Duckling Dr.,Mallard St.,593,354
23,Tail Ave.,The Circle,335,387
24,Breadcrumb Ave.,The Circle,284,393
25,Drake Dr.,Beak St.,452,402
26,Breadcrumb Ave.,Waddle Way,181,459
27,Tail Ave.,Beak St.,452,465
28,Duckling Dr.,Beak St.,452,474
